번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온
3213,2023,1,2,0,1,기타,한국,1,-1.8,3.3
3214,2023,1,2,0,1,애니메이션,미국,0,-1.8,3.3
3215,2023,1,2,0,1,애니메이션,일본,0,-1.8,3.3
3216,2023,1,2,0,1,애니메이션,미국,0,2.6,9.2
3217,2023,1,2,0,1,드라마,한국,1,-1.9,2.2
3218,2023,1,2,0,1,드라마,한국,1,-1.9,2.2
3219,2023,1,2,0,1,애니메이션,한국,1,-1.9,2.2
3220,2023,1,2,0,1,가족,미국,0,-1.9,2.2
3221,2023,1,2,0,1,공포(호러),미국,0,-11.3,-5.4
3222,2023,1,2,0,1,드라마,대만,0,-11.3,-5.4
3223,2023,2,2,0,0,드라마,미국,0,0.9,6.0
3224,2023,2,2,0,0,공연,한국,1,0.9,6.0
3225,2023,2,2,0,0,드라마,한국,1,2.1,7.8
3226,2023,2,2,0,0,애니메이션,한국,1,3.2,8.9
3227,2023,2,2,0,0,애니메이션,독일,0,3.2,8.9
3228,2023,2,2,0,0,액션,미국,0,3.2,8.9
3229,2023,2,2,0,0,드라마,한국,1,1.2,8.4
3230,2023,2,2,0,0,미스터리,한국,1,1.2,8.4
3231,2023,2,2,0,0,미스터리,미국,0,1.2,8.4
3232,2023,2,3,0,0,애니메이션,영국,0,2.9,9.2
3233,2023,3,2,0,0,범죄,한국,1,6.0,9.0
3234,2023,3,2,0,0,드라마,한국,1,6.0,9.0
3235,2023,3,2,0,0,액션,미국,0,6.0,9.0
3236,2023,3,2,0,0,공연,한국,1,6.0,9.0
3237,2023,3,3,0,0,애니메이션,일본,0,2.2,6.6
3238,2023,3,2,0,0,애니메이션,일본,0,12.5,17.7
3239,2023,3,2,0,0,미스터리,미국,0,12.5,17.7
3240,2023,3,2,0,0,드라마,한국,1,8.6,14.4
3241,2023,3,2,0,0,액션,미국,0,8.6,14.4
3242,2023,3,2,0,0,액션,미국,0,8.6,14.4
3243,2023,3,5,0,0,애니메이션,벨기에,0,7.7,14.0
3244,2023,3,2,0,0,코미디,한국,1,17.0,25.1
3245,2023,3,2,0,0,판타지,미국,0,17.0,25.1
3246,2023,3,2,0,0,드라마,미국,0,17.0,25.1
3247,2023,3,2,0,0,액션,미국,0,11.8,19.7
3248,2023,3,2,0,0,드라마,미국,0,11.8,19.7
3249,2023,4,2,0,0,드라마,한국,1,11.9,14.9
3250,2023,4,2,0,0,드라마,미국,0,11.9,14.9
3251,2023,4,3,0,0,애니메이션,일본,0,8.8,9.7
3252,2023,4,2,0,0,애니메이션,일본,0,10.1,15.3
3253,2023,4,2,0,0,액션,미국,0,10.1,15.3
3254,2023,4,4,0,0,코미디,한국,1,16.2,21.3
3255,2023,4,2,0,0,공포(호러),한국,1,19.1,28.4
3256,2023,4,2,0,0,코미디,미국,0,19.1,28.4
3257,2023,4,2,0,0,코미디,한국,1,10.2,13.5
3258,2023,4,2,0,0,애니메이션,미국,0,10.2,13.5
3259,2023,4,2,0,0,스릴러,중국,0,10.2,13.5
3260,2023,5,2,0,0,액션,,0,19.5,26.2
3261,2023,5,3,0,0,애니메이션,일본,0,21.4,25.8
3262,2023,5,2,0,0,멜로/로맨스,한국,1,18.4,26.0
3263,2023,5,2,0,0,다큐멘터리,한국,1,18.4,26.0
3264,2023,5,2,0,0,코미디,미국,0,23.5,28.7
3265,2023,5,2,0,0,액션,미국,0,23.5,28.7
3266,2023,5,2,0,0,멜로/로맨스,일본,0,20.6,25.9
3267,2023,5,2,0,0,뮤지컬,미국,0,20.6,25.9
3268,2023,5,2,0,0,범죄,,0,22.8,28.2
3269,2023,6,1,0,0,액션,,0,20.3,25.2
3270,2023,6,2,0,0,애니메이션,,0,20.6,25.0
3271,2023,6,2,0,0,액션,,0,20.6,25.0
3272,2023,6,2,0,0,액션,,0,20.5,22.1
3273,2023,6,2,0,0,다큐멘터리,,0,20.5,22.1
3274,2023,6,2,0,0,애니메이션,,0,20.5,22.1
3275,2023,6,4,0,0,애니메이션,,0,24.4,29.9
3276,2023,6,2,0,0,드라마,미국,0,26.5,30.1
3277,2023,6,2,0,0,공연,한국,1,26.5,30.1
3278,2023,6,2,0,0,어드벤처,미국,0,26.5,30.1
3279,2023,7,2,1,0,액션,한국,1,24.5,27.1
3280,2023,7,2,1,0,어드벤처,미국,0,24.5,27.1
3281,2023,7,5,1,0,애니메이션,일본,0,25.6,29.7
3282,2023,7,2,1,0,액션,미국,0,25.8,29.1
3283,2023,7,2,1,0,기타,미국,0,27.2,32.4
3284,2023,7,2,1,0,공포(호러),미국,0,27.2,32.4
3285,2023,7,3,1,0,애니메이션,일본,0,27.9,32.8
3286,2023,7,3,1,0,애니메이션,한국,1,27.9,32.8
3287,2023,7,2,1,0,액션,한국,1,27.6,31.1
3288,2023,7,2,1,0,애니메이션,한국,1,27.6,31.1
3289,2023,8,2,1,0,드라마,한국,1,29.7,33.7
3290,2023,8,2,1,0,SF,한국,1,29.7,33.7
3291,2023,8,2,1,0,애니메이션,영국,0,29.7,33.7
3292,2023,8,2,1,0,드라마,한국,1,28.3,31.6
3293,2023,8,3,1,0,애니메이션,영국,0,22.2,25.1
3294,2023,8,1,1,0,액션,한국,1,28.6,32.7
3295,2023,8,1,1,0,스릴러,미국,0,28.6,32.7
3296,2023,8,1,1,0,코미디,한국,1,28.6,32.7
3297,2023,8,1,1,0,액션,미국,0,28.6,32.7
3298,2023,8,3,1,0,애니메이션,독일,0,25.1,27.8
3299,2023,8,2,1,0,액션,미국,0,22.8,24.5
3300,2023,8,2,1,0,스릴러,한국,1,22.8,24.5
3301,2023,8,2,1,0,공포(호러),한국,1,22.8,24.5
3302,2023,8,2,1,0,코미디,미국,0,22.8,24.5
3303,2023,9,2,0,0,미스터리,한국,1,27.9,32.1
3304,2023,9,2,0,0,공연,한국,1,22.1,24.6
3305,2023,9,2,0,0,범죄,미국,0,22.1,24.6
3306,2023,9,3,0,0,애니메이션,일본,0,23.4,27.2
3307,2023,9,3,0,0,애니메이션,미국,0,23.4,27.2
3308,2023,9,2,0,0,액션,미국,0,20.6,23.9
3309,2023,9,3,0,0,코미디,한국,1,20.1,23.6
3310,2023,9,3,0,0,애니메이션,프랑스,0,20.1,23.6
3311,2023,9,2,0,0,드라마,한국,1,21.5,23.7
3312,2023,9,2,0,0,코미디,한국,1,21.5,23.7
3313,2023,9,2,0,0,판타지,한국,1,21.5,23.7
3314,2023,9,2,0,0,공포(호러),미국,0,21.5,23.7
3315,2023,9,3,0,0,애니메이션,일본,0,22.7,27.3
3316,2023,10,1,0,0,코미디,한국,1,17.5,22.5
3317,2023,10,1,0,0,SF,미국,0,17.5,22.5
3318,2023,10,2,0,0,공포(호러),일본,0,17.3,23.2
