번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온,백만_돌파
2731,2020,1,2,0,1,스릴러,미국,0,-2.2,0.3,0
2732,2020,1,2,0,1,액션,미국,0,2.4,8.9,0
2733,2020,1,2,0,1,판타지,미국,0,2.4,8.9,1
2734,2020,1,2,0,1,코미디,한국,1,-2.7,2.2,1
2735,2020,1,2,0,1,액션,미국,0,-2.7,2.2,0
2736,2020,1,3,0,1,드라마,프랑스,0,-1.7,3.2,0
2737,2020,1,2,0,1,드라마,한국,1,3.0,7.8,1
2738,2020,1,2,0,1,코미디,한국,1,3.0,7.8,0
2739,2020,1,2,0,1,코미디,한국,1,3.0,7.8,1
2740,2020,1,2,0,1,애니메이션,미국,0,3.0,7.8,0
2741,2020,1,3,0,1,애니메이션,일본,0,4.6,9.9,0
2742,2020,2,2,0,0,미스터리,한국,1,-8.3,-4.9,1
2743,2020,2,2,0,0,드라마,스페인,0,-8.3,-4.9,0
2744,2020,2,2,0,0,코미디,미국,0,-8.3,-4.9,0
2745,2020,2,2,0,0,액션,미국,0,-8.3,-4.9,0
2746,2020,2,3,0,0,애니메이션,한국,1,-6.4,0.4,0
2747,2020,2,2,0,0,애니메이션,미국,0,7.4,8.2,0
2748,2020,2,2,0,0,드라마,미국,0,7.4,8.2,0
2749,2020,2,2,0,0,코미디,한국,1,7.4,8.2,1
2750,2020,2,2,0,0,스릴러,한국,1,1.0,6.4,0
2751,2020,2,2,0,0,드라마,미국,0,1.0,6.4,0
2752,2020,2,2,0,0,코미디,미국,0,1.0,6.4,0
2753,2020,2,2,0,0,범죄,미국,0,6.4,10.4,0
2754,2020,2,2,0,0,공포(호러),미국,0,6.4,10.4,0
2755,2020,3,3,0,0,액션,프랑스,0,1.4,6.3,0
2756,2020,3,3,0,0,공포(호러),미국,0,1.4,6.3,0
2757,2020,3,2,0,0,드라마,미국,0,3.8,8.3,0
2758,2020,3,3,0,0,공포(호러),미국,0,9.1,12.1,0
2759,2020,3,2,0,0,드라마,영국,0,12.5,19.2,0
2760,2020,3,2,0,0,판타지,미국,0,12.5,19.2,0
2761,2020,3,2,0,0,판타지,한국,1,12.5,19.2,0
2762,2020,4,2,0,0,액션,홍콩,0,11.3,17.4,0
2763,2020,4,2,0,0,멜로/로맨스,미국,0,11.3,17.4,0
2764,2020,4,3,0,0,미스터리,미국,0,9.3,15.5,0
2765,2020,4,2,0,0,미스터리,기타,0,9.4,14.2,0
2766,2020,4,2,0,0,공포(호러),러시아,0,9.4,14.2,0
2767,2020,4,2,0,0,다큐멘터리,한국,1,13.2,20.2,0
2768,2020,4,2,0,0,범죄,영국,0,13.2,20.2,0
2769,2020,4,2,0,0,액션,영국,0,13.2,20.2,0
2770,2020,4,2,0,0,스릴러,한국,1,13.2,20.2,0
2771,2020,4,2,0,0,드라마,호주,0,13.2,20.2,0
2772,2020,4,3,0,0,드라마,영국,0,7.9,12.8,0
2773,2020,4,2,0,0,공포(호러),한국,1,14.9,21.0,0
2774,2020,4,2,0,0,멜로/로맨스,대만,0,14.9,21.0,0
2775,2020,4,2,0,0,애니메이션,미국,0,14.9,21.0,0
2776,2020,4,2,0,0,액션,미국,0,14.9,21.0,0
2777,2020,4,3,0,0,드라마,한국,1,17.1,23.4,0
2778,2020,5,2,0,0,코미디,미국,0,19.4,27.6,0
2779,2020,5,2,0,0,어드벤처,영국,0,19.4,27.6,0
2780,2020,5,2,0,0,SF,스페인,0,16.1,21.8,0
2781,2020,5,2,0,0,SF,아일랜드,0,16.1,21.8,0
2782,2020,5,3,0,0,드라마,프랑스,0,19.3,25.4,0
2783,2020,5,3,0,0,어드벤처,미국,0,19.3,25.4,0
2784,2020,5,2,0,0,코미디,프랑스,0,14.4,20.1,0
2785,2020,5,2,0,0,드라마,한국,1,17.4,23.9,0
2786,2020,5,2,0,0,공포(호러),스페인,0,17.4,23.9,0
2787,2020,5,2,0,0,드라마,영국,0,17.4,23.9,0
2788,2020,5,2,0,0,드라마,한국,1,17.4,23.9,0
2789,2020,5,2,0,0,스릴러,미국,0,17.4,23.9,0
2790,2020,6,3,0,0,드라마,한국,1,21.9,26.5,0
