영화명,번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온,첫주_관객수,top10_주수,최고_순위,백만_돌파
라스트 사무라이,1,2004,1,4,0,1,액션,미국,0,1.8,5.0,87988,6,3,0
말죽거리 잔혹사,2,2004,1,4,0,1,액션,한국,1,1.4,5.5,284,7,1,0
내사랑 싸가지,3,2004,1,4,0,1,코미디,한국,1,1.4,5.5,77531,4,3,0
브라더 베어,4,2004,1,4,0,1,드라마,미국,0,1.4,5.5,8150,2,10,0
빙우,5,2004,1,4,0,1,드라마,한국,1,1.4,5.5,24043,2,7,0
피터 팬,6,2004,1,4,0,1,어드벤처,미국,0,1.4,5.5,25823,4,4,0
페이첵,7,2004,1,3,0,1,액션,미국,0,-13.0,-9.1,70078,4,4,0
안녕! 유에프오,8,2004,1,4,0,1,드라마,한국,1,1.7,6.0,27937,2,7,0
런어웨이,9,2004,1,4,0,1,스릴러,미국,0,1.7,6.0,14532,1,10,0
그녀를 모르면 간첩,10,2004,1,4,0,1,코미디,한국,1,1.7,6.0,23907,1,9,0
자토이치,11,2004,1,4,0,1,액션,일본,0,1.7,6.0,3625,1,10,0
태극기 휘날리며,12,2004,2,3,0,0,전쟁,한국,1,-4.9,-0.8,408103,15,1,1
베이직,13,2004,2,4,0,0,액션,미국,0,-4.0,-0.6,8392,2,10,0
스파이 키드 3D,14,2004,2,4,0,0,액션,미국,0,3.8,7.0,2633,1,11,0
열두명의 웬수들 ,15,2004,2,4,0,0,코미디,미국,0,3.8,7.0,7159,2,6,0
사랑할 때 버려야 할 아까운 것들,16,2004,2,4,0,0,코미디,미국,0,3.8,7.0,37061,5,3,0
목포는 항구다,17,2004,2,4,0,0,드라마,한국,1,11.5,18.7,68018,7,2,0
그녀를 믿지 마세요,18,2004,2,4,0,0,코미디,한국,1,11.5,18.7,65258,5,3,0
콜드 마운틴,19,2004,2,4,0,0,전쟁,미국,0,11.5,18.7,19601,3,6,0
사랑도 통역이 되나요?,20,2004,2,4,0,0,멜로/로맨스,미국,0,11.5,18.7,14163,2,7,0
스쿨 오브 락,21,2004,2,4,0,0,코미디,영국,0,1.9,6.1,12349,2,8,0
타임라인,22,2004,2,4,0,0,SF,미국,0,1.9,6.1,14412,1,7,0
8명의 여인들,23,2004,2,4,0,0,코미디,프랑스,0,1.9,6.1,7205,1,11,0
빅 피쉬,24,2004,3,4,0,0,판타지,미국,0,-0.1,3.5,19014,4,6,0
휴먼 스테인,25,2004,3,4,0,0,드라마,미국,0,-0.1,3.5,11901,1,8,0
사마리아,26,2004,3,4,0,0,드라마,한국,1,-0.1,3.5,25569,2,5,0
어깨동무,27,2004,3,4,0,0,코미디,한국,1,6.9,11.6,42808,3,4,0
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,28,2004,3,4,0,0,코미디,한국,1,6.9,11.6,57954,4,2,0
헌티드,29,2004,3,4,0,0,액션,미국,0,6.9,11.6,15214,2,9,0
